#taskLabel	taskNamespace	taskType	nCores	memMb	priority	isForceLocal	dependencies	cwd	command
getChromDepth_makeTmpDir		command	1	2048	0	1			mkdir -p /home/bioinfo/snv/variant_calling/strelka/workspace/chromDepth.tsv.tmpdir
getChromDepth_sample000_makeTmpDir		command	1	2048	0	1	getChromDepth_makeTmpDir		mkdir -p /home/bioinfo/snv/variant_calling/strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir
getChromDepth_sample000_estimateChromDepth_003_4		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/usr/local/libexec/GetChromDepth --ref /home/bioinfo/snv/ref/human_g1k_v37.fasta --align-file /home/bioinfo/snv/alignment/normal/normal.sorted.dup.recal.bam --output /home/bioinfo/snv/variant_calling/strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_003_4 --chrom 4
getChromDepth_sample000_catChromDepth		command	1	2048	0	1	getChromDepth_sample000_estimateChromDepth_003_4		/usr/local/libexec/cat.py --output /home/bioinfo/snv/variant_calling/strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt /home/bioinfo/snv/variant_calling/strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_003_4
getChromDepth_mergeChromDepth		command	1	2048	0	1	getChromDepth_sample000_catChromDepth		/usr/local/libexec/mergeChromDepth.py --out /home/bioinfo/snv/variant_calling/strelka/workspace/chromDepth.tsv --in /home/bioinfo/snv/variant_calling/strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt
getChromDepth_removeTmpDir		command	1	2048	0	1	getChromDepth_mergeChromDepth		rm -rf /home/bioinfo/snv/variant_calling/strelka/workspace/chromDepth.tsv.tmpdir
CallGenome		workflow	0	0	0	0	getChromDepth_mergeChromDepth		CallWorkflow
makeTmpDir	CallGenome	command	1	2048	0	1			mkdir -p /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir
callGenomeSegment_chromId_003_4_0000	CallGenome	command	1	1536	0	0	makeTmpDir		/usr/local/libexec/strelka2 --region 4:1-11947143 --ref /home/bioinfo/snv/ref/human_g1k_v37.fasta --max-indel-size 49 --call-regions-bed /home/bioinfo/snv/ref/callable.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /usr/local/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /usr/local/share/config/somaticIndelScoringModels.json --normal-align-file /home/bioinfo/snv/alignment/normal/normal.sorted.dup.recal.bam --tumor-align-file /home/bioinfo/snv/alignment/tumour/tumour.sorted.dup.recal.bam --somatic-snv-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0000.vcf --somatic-indel-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0000.vcf --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0000.xml --strelka-chrom-depth-file /home/bioinfo/snv/variant_calling/strelka/workspace/chromDepth.tsv --strelka-max-depth-factor 3.0
fixVcfHeader_chromId_003_4_0000	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_003_4_0000		"/usr/bin/python2" -E "/usr/local/libexec/vcfCmdlineSwapper.py" "/usr/local/bin/configureStrelkaSomaticWorkflow.py --normalBam alignment/normal/normal.sorted.dup.recal.bam --tumorBam alignment/tumour/tumour.sorted.dup.recal.bam --referenceFasta ref/human_g1k_v37.fasta --runDir variant_calling/strelka/ --callRegions ref/callable.bed.gz" < "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0000.vcf" > "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0000.vcf.reheader.tmp" && mv "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0000.vcf.reheader.tmp" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0000.vcf" && "/usr/bin/python2" -E "/usr/local/libexec/vcfCmdlineSwapper.py" "/usr/local/bin/configureStrelkaSomaticWorkflow.py --normalBam alignment/normal/normal.sorted.dup.recal.bam --tumorBam alignment/tumour/tumour.sorted.dup.recal.bam --referenceFasta ref/human_g1k_v37.fasta --runDir variant_calling/strelka/ --callRegions ref/callable.bed.gz" < "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0000.vcf" > "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0000.vcf.reheader.tmp" && mv "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0000.vcf.reheader.tmp" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0000.vcf"
compressSegmentOutput_chromId_003_4_0000	CallGenome	command	1	2048	0	1	fixVcfHeader_chromId_003_4_0000		"/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0000.vcf" && "/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0000.vcf"
callGenomeSegment_chromId_003_4_0001	CallGenome	command	1	1536	0	0	makeTmpDir		/usr/local/libexec/strelka2 --region 4:11947144-23894286 --ref /home/bioinfo/snv/ref/human_g1k_v37.fasta --max-indel-size 49 --call-regions-bed /home/bioinfo/snv/ref/callable.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /usr/local/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /usr/local/share/config/somaticIndelScoringModels.json --normal-align-file /home/bioinfo/snv/alignment/normal/normal.sorted.dup.recal.bam --tumor-align-file /home/bioinfo/snv/alignment/tumour/tumour.sorted.dup.recal.bam --somatic-snv-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0001.vcf --somatic-indel-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0001.vcf --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0001.xml --strelka-skip-header --strelka-chrom-depth-file /home/bioinfo/snv/variant_calling/strelka/workspace/chromDepth.tsv --strelka-max-depth-factor 3.0
compressSegmentOutput_chromId_003_4_0001	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_003_4_0001		"/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0001.vcf" && "/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0001.vcf"
callGenomeSegment_chromId_003_4_0002	CallGenome	command	1	1536	0	0	makeTmpDir		/usr/local/libexec/strelka2 --region 4:23894287-35841429 --ref /home/bioinfo/snv/ref/human_g1k_v37.fasta --max-indel-size 49 --call-regions-bed /home/bioinfo/snv/ref/callable.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /usr/local/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /usr/local/share/config/somaticIndelScoringModels.json --normal-align-file /home/bioinfo/snv/alignment/normal/normal.sorted.dup.recal.bam --tumor-align-file /home/bioinfo/snv/alignment/tumour/tumour.sorted.dup.recal.bam --somatic-snv-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0002.vcf --somatic-indel-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0002.vcf --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0002.xml --strelka-skip-header --strelka-chrom-depth-file /home/bioinfo/snv/variant_calling/strelka/workspace/chromDepth.tsv --strelka-max-depth-factor 3.0
compressSegmentOutput_chromId_003_4_0002	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_003_4_0002		"/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0002.vcf" && "/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0002.vcf"
callGenomeSegment_chromId_003_4_0003	CallGenome	command	1	1536	0	0	makeTmpDir		/usr/local/libexec/strelka2 --region 4:35841430-47788572 --ref /home/bioinfo/snv/ref/human_g1k_v37.fasta --max-indel-size 49 --call-regions-bed /home/bioinfo/snv/ref/callable.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /usr/local/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /usr/local/share/config/somaticIndelScoringModels.json --normal-align-file /home/bioinfo/snv/alignment/normal/normal.sorted.dup.recal.bam --tumor-align-file /home/bioinfo/snv/alignment/tumour/tumour.sorted.dup.recal.bam --somatic-snv-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0003.vcf --somatic-indel-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0003.vcf --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0003.xml --strelka-skip-header --strelka-chrom-depth-file /home/bioinfo/snv/variant_calling/strelka/workspace/chromDepth.tsv --strelka-max-depth-factor 3.0
compressSegmentOutput_chromId_003_4_0003	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_003_4_0003		"/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0003.vcf" && "/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0003.vcf"
callGenomeSegment_chromId_003_4_0004	CallGenome	command	1	1536	0	0	makeTmpDir		/usr/local/libexec/strelka2 --region 4:47788573-59735714 --ref /home/bioinfo/snv/ref/human_g1k_v37.fasta --max-indel-size 49 --call-regions-bed /home/bioinfo/snv/ref/callable.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /usr/local/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /usr/local/share/config/somaticIndelScoringModels.json --normal-align-file /home/bioinfo/snv/alignment/normal/normal.sorted.dup.recal.bam --tumor-align-file /home/bioinfo/snv/alignment/tumour/tumour.sorted.dup.recal.bam --somatic-snv-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0004.vcf --somatic-indel-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0004.vcf --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0004.xml --strelka-skip-header --strelka-chrom-depth-file /home/bioinfo/snv/variant_calling/strelka/workspace/chromDepth.tsv --strelka-max-depth-factor 3.0
compressSegmentOutput_chromId_003_4_0004	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_003_4_0004		"/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0004.vcf" && "/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0004.vcf"
callGenomeSegment_chromId_003_4_0005	CallGenome	command	1	1536	0	0	makeTmpDir		/usr/local/libexec/strelka2 --region 4:59735715-71682856 --ref /home/bioinfo/snv/ref/human_g1k_v37.fasta --max-indel-size 49 --call-regions-bed /home/bioinfo/snv/ref/callable.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /usr/local/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /usr/local/share/config/somaticIndelScoringModels.json --normal-align-file /home/bioinfo/snv/alignment/normal/normal.sorted.dup.recal.bam --tumor-align-file /home/bioinfo/snv/alignment/tumour/tumour.sorted.dup.recal.bam --somatic-snv-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0005.vcf --somatic-indel-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0005.vcf --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0005.xml --strelka-skip-header --strelka-chrom-depth-file /home/bioinfo/snv/variant_calling/strelka/workspace/chromDepth.tsv --strelka-max-depth-factor 3.0
compressSegmentOutput_chromId_003_4_0005	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_003_4_0005		"/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0005.vcf" && "/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0005.vcf"
